Sender,Subject,Date-Time,Content,Frequency
Stacy Guidroz,Bill Johnson - Executive Comm.,"Tue, 17 Oct 2000 08:25:00 -0700 (PDT)","Sanjay will recommend this person for a VP new hire at a future ExComm 
meeting.



 - JohnsonResumefinal.doc






Jeff McMahon: ""Seems like a good candidate.  Would recommend hiring as VP 
given experience level""

Mark Metts: Based on his evaluation ""Mark would consider candidate as VP"".

Joe Sutton: ""Looks good to me - wealth of experience""

","[('VP', 3), ('Mark', 2), ('good', 2)]"
Sally Keepers,Christmas 2000,"Tue, 15 Aug 2000 00:48:00 -0700 (PDT)","Linda & Ken are beginning to make plans for the holiday and asked that I poll 
each of you re the following:

Where do you plan to spend Christmas eve and Christmas day?

If planning to come to Aspen, when arriving and departing?  # in your travel 
party?  

If traveling commercially, please provide carrier and flight # information.

PS -- I've heard back from Liz & Jose Luis - they are arriving Aspen 12/23, 
departing 12/30,
Natalie, Mark, & Zach arrive 12/26, depart 1/2.

Robyn, David, Beau - please respond ASAP.  Thanks.","[('If', 2), ('Aspen', 2), ('please', 2)]"
Richard Shapiro,Background for meeting w/Craven Crowell/TVA,"Fri, 25 Aug 2000 10:25:00 -0700 (PDT)","Enclosed is brief backgrounder in preparation for our upcoming meeting with 
Craven Crowell, Chair of the Tennessee Valley Authority, tentatively slotted 
for September 15,2000.  I will be in contact with each of you prior to that 
meeting to provide further information and background. Feel free to call if 
you have any questions.
","[('meeting', 2), ('provide', 1), ('slotted', 1)]"
Jan Rogers <rogers@taxfoundation.org>,Tax Foundation's 63rd National Conference,"Tue, 17 Oct 2000 09:38:00 -0700 (PDT)","Tax Foundation's 63rd National Conference
Thursday, November 16, 2000
Four Seasons Hotel, Washington, DC


Corporate Tax Shelters

I would like to invite you and any interested parties to attend the Tax
Foundation's 63rd National Conference, ""Corporate Tax Shelters.""

The goal of the conference is to give a balanced view of the issue from the
perspective of the Administration, Capitol Hill, the Judiciary, and tax
practitioners.  It will also examine corporate tax shelters and distinguish
the line that defines them as either legitimate business transactions or tax
shelters.  Speakers include:
Secretary Lawrence H. Summer, Department of the Treasury
Judge David Laro, U.S. Tax Court
Professor Ronald Pearlman, Georgetown University
Kenneth Kies, PricewaterhouseCoopers LLP
Mark Prater, Majority Chief Tax Counsel, Senate Committee on Finance
Russ Sullivan, Minority Chief Tax Counsel, Senate Committee on Finance
Timothy Hanford, Majority Tax Counsel, House Committee on Ways and Means.
If you are interested in attending this year's conference please open,
print, and complete the registration form below and return it using the
information provided.

 <<Conference registration.DOC>>


****************************************************************************
************************************************************************
Tax Foundation's 63rd Annual Dinner
Thursday, November 16, 2000, Four Seasons Hotel, Washington, DC
Black Tie Event
6:00 p.m. Reception, 7:00 p.m. Dinner and Presentation of Distinguished
Service Awards to:

Public Sector:  Congresswoman Jennifer Dunn (R-WA)
Private Sector:  Charles G. Koch, Koch Industries, Inc.

For more information on the 63rd Annual Dinner contact Ren,e Nowland by
phone 202/661-4223 or by e-mail rnowland@taxfoundation.org

****************************************************************************
************************************************************************



 - Conference registration.DOC","[('Tax', 9), ('Conference', 4), ('Committee', 3)]"
"""Rightworks"" <Rightworks@rightworks.rsvp0.net>",Transform Your Business to eBusiness--RightWorks Executive Series,"Tue, 17 Oct 2000 07:32:00 -0700 (PDT)","Discover five valuable steps to turn your business into a profitable and 
competitive eBusiness.
Learn from industry experts RightWorks and GartnerGroup how to put the e in 
front of your business.
Learn how companies like yours are leveraging e-business applications to 
their competitive
advantage and how to improve the bottom line of your enterprise by attending 
an informative
and interactive seminar in a metropolitan location near you.

During this session you will hear from GartnerGroup on how to implement a 
successful
eBusiness strategy and hear from RightWorks on how they are helping 
organizations
harness the power of eCommerce and Trading Exchanges.

To attend the ""Transforming Your Business to eBusiness"" seminar
Register today at www.rightworks.com/seminar or call 1-888-535-4377.
Please use your personal ID#: Q2E101

Seminar Dates and Locations

West:
San Francisco:  October 24
Los Angeles:  October 25
Denver:  October 26

East:
Boston:  October 31
New York:  November 1
Wash DC:  November 10

Canada:
Toronto:  November 14

South:
Dallas:  November 15
Atlanta:  November 16
Charlotte:  November 17

Central:
Chicago:  December 5
Minneapolis:  December 6

Register now at www.rightworks.com/seminar or call 1-888-535-4377.
Please use your personal ID # Q2E101

When you register and attend, you'll receive a Complimentary report on:
E-procurement vs. Global Spend Management:
5 Crucial Differences You Need to Know,
and a FREE copy of Meta-Capitalism

We look forward to your participation! If you would like additional 
information
on RightWorks or have additional questions, please contact us via email at:
Hq@rightworks.com or call us at 408-579-4000.

______________________________________________________________________
This message was sent by Rightworks using Responsys Interact.

If you prefer not to receive future e-mail from Rightworks:
    http://rightworks.rsvp0.com/servlet/optout?kmPrDWErsHRFLgkhgDJht

To view our permission marketing policy:
    http://www.rsvp0.net
","[('November', 6), ('October', 4), ('call', 3)]"
David Haug,Re: Bill Johnson - Executive Comm.,"Tue, 17 Oct 2000 11:37:00 -0700 (PDT)","Isn't this the guy he put through last Monday? Surely there aren't two Plano 
to India candidates.




Stacy Guidroz
10/17/2000 03:25 PM
To: James M Bannantine/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Cliff Baxter@ECT, 
Rick Buy@ECT, Richard Causey@ENRON, David W Delainey@ECT, Diomedes 
Christodoulou/SA/Enron@Enron, Stephanie Harris@ENRON, Andrew S Fastow@ECT, 
Peggy Fowler@ENRON, Mark Frevert@Enron, Ben F Glisan@ECT, Kevin Hannon@ENRON 
COMMUNICATIONS, David Haug/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Stanley 
Horton@ENRON, Larry L Izzo/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, Steven J 
Kean/NA/Enron@Enron, Mark Koenig@ENRON, Kenneth Lay@ENRON, Mike 
McConnell/HOU/ECT@ECT, Rebecca McDonald/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, 
Jeffrey McMahon@ECT, J Mark Metts@Enron, Cindy Olson@ENRON, Lou L Pai@EES, 
Ken Rice@ENRON COMMUNICATIONS, Jeffrey Sherrick@ENRON, John Sherriff@ECT, 
Jeff Skilling@ENRON, Joseph W Sutton/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT, 
Greg Whalley@ECT, Tom White@Enron Communications
cc:  

Subject: Bill Johnson - Executive Comm.



Sanjay will recommend this person for a VP new hire at a future ExComm 
meeting.



 - JohnsonResumefinal.doc






Jeff McMahon: ""Seems like a good candidate.  Would recommend hiring as VP 
given experience level""

Mark Metts: Based on his evaluation ""Mark would consider candidate as VP"".

Joe Sutton: ""Looks good to me - wealth of experience""




","[('ENRON', 11), ('ECT', 9), ('Enron', 5)]"
Barbette_Watts@i2.com,i2 Board of Director's Meeting Package,"Tue, 17 Oct 2000 11:49:00 -0700 (PDT)","Good Evening,

Just wanted to let you know that the Board packages have gone out via
Federal Express and are scheduled for an A.M. arrival.  All of the packages
have been sent to your offices (except Romesh's = i2 New Hampshire office).
Thanks!

Barbette Joy Watts
Executive Assistant to David Becker
One i2 Place, 3rd Floor
469-357-3460 (Direct)
469-357-6769 (Fax)
barbette_watts@i2.com","[('packages', 2), ('Fax', 1), ('Hampshire', 1)]"
"""Walker, Bruce J."" <Walker@missouri.edu>",Pinkney Walker,"Tue, 17 Oct 2000 11:56:00 -0700 (PDT)","I just talked with Pinkney to assure that he was feeling well.  As you know,
he was pretty well worn out by Saturday.  I think it was prudent of him to
forgo the football game and rest instead.

Anyhow, he is feeling quite well -- he sounded great.  He said he was still
overwhelmed by the honor bestowed on him.  He, like I, was so very grateful
of Ken's traveling to Columbia to be part of the presentation.  And, of
course, he very much appreciated the first-class travel that Ken arranged
for him on an Enron aircraft.

He concluded by saying he's always be a Tiger!","[('well', 3), ('I', 3), ('He', 3)]"
"""Katz, Mayor"" <mayorkatz@ci.portland.or.us>",E-Katz: homeless/affordable housing; PURB members needed,"Tue, 17 Oct 2000 10:15:00 -0700 (PDT)","In light of Judge Stephen Gallagher's opinion on the City's homeless camping
ordinance, Commissioner Sten and I have developed a comprehensive approach
to dealing with homeless issues that includes working with private
organizations.  Details follow below.

I have also included an item requesting applicants for the Public Utilities
Review Board.  This is a board I created with former City Commissioner Mike
Lindberg in 1993 to provide needed citizen oversight of municipal utilities.
I encourage people to consider becoming a part of this important board.

You are a part of my e-Katz list because of your work with me or my
administration.  To be removed from the ""e-Katz"" distribution list, simply
reply to this e-mail with your request.  If you have multiple e-mail
addresses you use, please include a name and/or company, otherwise we may
not be able to locate the correct entry to remove.  For more information on
the Katz administration, visit our website at
http://www.ci.portland.or.us/mayor.


MAYOR VERA KATZ, COMMISSIONER ERIK STEN PRESENT HOLISTIC APPROACH TO
ADDRESSING HOMELESS ISSUES
Reaffirming their commitment to providing safe, affordable housing while
standing firm against homeless camping in the City of Portland, Mayor Vera
Katz and Commissioner Erik Sten held a news conference today to announce
their holistic approach to address homeless and housing issues.   The two
focused on the City's ongoing efforts to preserve and create more affordable
housing, the current tools available to continue enforcing anti-camping
laws, and announced an expanded partnership with JOIN -- a private
organization that does outreach to homeless people.

""While I am still a firm believer in the need for the anti-camping ordinance
to prevent unsafe and unsanitary campgrounds, this has given us the
opportunity to take a closer look at what we in the City are doing to
provide housing and shelter opportunities for everyone,"" said Katz, ""and
while we've made strides meeting our affordable housing commitments, there
is still more we can do.""

Katz and Commissioner Erik Sten announced their intent to follow the
recommendation of Sten's 0-30% Housing Resources Task Force to spend $3.5
million of the $5 million allocated for affordable housing this coming year
on housing for those in the 0-30 percent median income range.  Over the last
seven years, the City of Portland has committed nearly $270 million towards
affordable housing, in addition to foregoing $10.5 million in revenue
through tax abatements.

""Homelessness is an issue that should be addressed by first dealing with the
individual at a personal level,"" said Commissioner Sten.  ""I appreciate that
the City is continuing to move forward on doing this with aggressive efforts
around things such as housing and outreach services.""

Katz and Sten also noted recent successes in meeting affordable housing
needs, including the Portland Development Commission's just-completed
purchase of the Fountain Place apartment building and the recent opening of
Ritzdorf Court which completed the Shelter Reconfiguration Plan.  The
Fountain Place acquisition -- completed just last Friday, means the city
will save the building's affordable housing rates, and serve as potential
replacement housing for nearby low-income units soon to be lost.

Additionally, Katz and Sten also announced an expanded partnership with JOIN
-- an outreach group that works to connect the homeless with services.

The Bureau of Housing and Community Development plans to increase JOIN's
current contract with the bureau to a total of $90,000.  This money,
combined with a new $80,000 contribution from the Portland Police Bureau,
will increase the number of JOIN outreach workers, enabling them to work in
every precinct to link homeless people with housing assistance resources.

""It is critical that we find ways for all of us to work together to help
homeless people find their way off the streets -- that means our outreach
workers, police, ODOT, and neighbors all collaborating to make that happen,""
said Rob Justus, Executive Director, JOIN.  ""Our ultimate goal is to respond
to homelessness and address the negative effect of hundreds on the streets
by helping people into housing.  By engaging the homeless people where they
are -- whether it's under a bridge or in an alleyway -- our outreach workers
can help them begin that transition off the streets.""

At the same time, Katz and Sten said that the City's aggressive efforts to
preserve and create affordable housing opportunities and to link homeless
individuals to those opportunities, made it all the more reasonable to
continue to enforce the City's anti-camping policy which prevents unsafe and
unhealthy campsites from degrading neighborhood livability.  Both said they
are pleased the Multnomah County District Attorney has decided to appeal
Judge Stephen Gallagher's opinion that the City's Homeless Camping Ordinance
is unconstitutional.

While the City Attorney's Office and DA's Office continue to analyze the
implications of the Gallagher opinion, Portland Police Bureau Assistant
Chief Bruce Prunk outlined alternative tools the City intends to use to
continue its efforts to restrict homeless camping in public areas.

1. Parks -- City Code closes most City parks between midnight and 5
a.m., others, such as Forest Park, close earlier.  After closure, people
camping would be subject to state law prohibition on criminal trespass in
the second degree, and police could issue citations and/or remove people for
trespassing.  The City also has the ability to exclude people from City
parks for a period of not more than 30 days.  Permanent or temporary
structures or facilities are also prohibited by City Code at all times, so
police could issue citations or remove people violating the ordinance as an
unclassified misdemeanor.

2. Highway Overpasses -- Oregon Department of Transportation property
under I-5 and I-405 overpasses are posted with ""No Trespassing"" signs, which
means police could issue citations to anyone camping at those locations.

3. Sidewalks -- There are provisions of the City Code that prohibit
sidewalk obstructions.

4. Parking -- City Code prohibits parking a recreational vehicle in the
public right of way directly across from a residential, public park, church
or school property unless the vehicle is being loaded and unloaded for a
period not to exceed eight hours.  In addition, no vehicle may park on the
public right of way or other public property in excess of 24 hours without
City permission.  If so, the vehicle may be removed.

Prunk said the Police Bureau would continue to work with the partners
currently in place, such as JOIN, noting that recent efforts have focused
less on anti-camping citations, and more on trespassing violations.


To read Mayor Katz's comments from the news conference, go to
http://www.ci.portland.or.us/mayor/speeches/2/homelessaffordablespc.htm

To read The Oregonian's editorial on this subject, see the following link
http://www.oregonlive.com/oped/index.ssf?/oped/00/10/ed_11ldh1001.frame

* * * * * * * *

DEADLINE EXTENDED FOR PORTLAND UTILITIES REVIEW BOARD (PURB) BUSINESS,
NEIGHBORHOOD REPRESENTATIVES


Because of multiple vacancies, the City of Portland's Portland Utilities
Review Board (PURB) is still looking for qualified members and has extended
its deadline for applications.  Positions are available for neighborhood
representation, public interest advocacy, large commercial/industrial
businesses, and local businesses.

Members must reside or have a business located in Portland.  The
appointments to these vacancies will serve three-year terms.  The deadline
for applying to fill these vacancies has been extended to October 31, 2000.

The 15-member committee, established in November 1994, is appointed by Mayor
Vera Katz to provide citizen oversight and independent and representative
customer review of water, sewer and solid waste financial plans and rates.
PURB operates in an advisory capacity to City Council.  PURB meets monthly,
with each Board member serving on one of three standing committees covering
water, sewer or solid waste issues.

For more information on the responsibilities and time commitments each
position requires, please contact David Hasson in the Office of Management
and Finance at 503-823-6846.

Interested citizens can obtain an application for the positions by going to
Mayor Vera Katz's website at http://www.ci.portland.or.us/mayor under
""Citizen Involvement,"" or by calling the Office of Neighborhood Involvement
at 503-823-4519.


For more background on PURB, see the section of the Katz website on
Government Efficiency at
http://www.ci.portland.or.us/mayorstate/section4.htm


","[('City', 22), ('housing', 15), ('homeless', 11)]"
Dan Rittgers,B2B Manufacturer's Coupons,"Tue, 17 Oct 2000 12:50:00 -0700 (PDT)","The following would be too logical not to be in practice now, I could not 
post to E-think.

The Power Company Name Recognition - Introduce Home Coupons

Make the internet profitable to households.  Newspapers advertise that this 
week's Sunday paper has coupons that will save you $100.00.

Go one step better:

Every household must eat.  Some households buy the Sunday newspaper just for 
the coupons to purchase.  Offer a Enron site where producers can post 
manufacturer's coupons on The Enron B2B web page.  If the consumer downloads 
the coupon, TPC records the transaction including the consumer's logon site 
and Zip Code.  Sell the database to the manufacturer/producer.  Ask the 
consumer if they would like direct solicitations for competitor's brand.  
Expand it to appliances and manufacturer's coupons.

Then Link local grocery/appliance stores, for the consumer, by his 
surrounding zip code.  The stores would post their price for that month's 
coupon by store zip code on the B2B.  For those stores participating, prepare 
a comparison by store also considering double and triple coupon offers and 
the consumer can make a decision where to buy their groceries.  Sell the 
download to stores for expected inventory control.

If it takes off, I think internet volume would be tremendous and newspaper 
circulation??   McClere agreed that broadband won't take off until there is 
some kind of ""killer application"" to drive more people toward high-speed 
Internet access.","[('consumer', 5), ('The', 4), ('stores', 4)]"
owner-independent-list@free-market.net,"THE LIGHTHOUSE: October 17, 2000","Tue, 17 Oct 2000 12:33:00 -0700 (PDT)","THE LIGHTHOUSE
""Enlightening Ideas for Public Policy...""
VOL. 2, ISSUE 40
October 17, 2000

Welcome to The Lighthouse, the e-mail newsletter of The Independent
Institute, the non-partisan, public policy research organization
<http://www.independent.org>. We provide you with updates of the
Institute's current research publications, events and media programs.

-------------------------------------------------------------

IN THIS WEEK'S ISSUE:
1. Defective Tires, Defective Bureaucracy
2. Paul Craig Roberts on the War on Crime
3. Medicare Reform: Economics versus Politics

-------------------------------------------------------------

DEFECTIVE TIRES, DEFECTIVE BUREAUCRACY

Some fans of the regulatory state believe that NHTSA, the National
Highway Traffic Safety Administration, deserves much credit -- and,
in reward, expanded powers -- for its role in exposing the Firestone
tire/ Ford Explorer fiasco. But although NHTSA received early reports
of fatalities caused by the separation of Firestone tires, its
investigation began very recently -- last May -- long after
investigations by State Farm Insurance, the Center for Auto Safety,
and Safety Forum brought the problem to light.

This isn't the first time that NHTSA has failed its mission, argues
Michael I. Krauss, law professor at George Mason University and
author of the recent Independent Institute book FIRE AND SMOKE:
Government, Lawsuits and the Rule of Law.

""NHTSA, the agency responsible for minimum fuel economy standards
(found by a court to have likely cost many lives by forcing
manufacturers to produce light, dangerous cars) and for
illegal-to-disable, baby-killing airbags, does not deserve to be
rewarded for its asleep-at-the-switch approach to the tire problem,""
Krauss wrote recently.

It would be absurd to reward Firestone for selling defective tires.
However, when NHTSA fails, self-proclaimed ""consumer advocates"" call
for a parallel absurdity: lavishing the agency with more regulatory
authority and taxpayer funds. But NHTSA's pattern of failure
indicates a systemic problem -- a design flaw -- that cannot be
easily repaired. In contrast, as the Firestone episode demonstrates,
the watchful eyes of the American economic and legal systems have
enormous incentives to detect and report product defects. In this
light, perhaps what most needs to be recalled and held accountable
for sloppy workmanship and false advertising is: the defective
regulatory state.

For more information, see ""The Feds Eye Firestone,"" by Michael Krauss
(The Washington Times, 9/22/00), at
http://www.independent.org/tii/lighthouse/LHLink2-40-1.html.

For Michael Krauss's book, FIRE AND SMOKE: Government, Lawsuits and
the Rule of Law (The Independent Institute, 2000), see
http://www.independent.org/tii/lighthouse/LHLink2-40-2.html.

-------------------------------------------------------------

PAUL CRAIG ROBERTS ON THE WAR ON CRIME

Election-year promises always renew the risk that peaceful Americans
will see their rights sacrificed for the sake of political
expediency. This is especially true when politicians promise to ""get
tough on crime,"" as syndicated columnist and Independent Institute
research fellow Paul Craig Roberts pointed out recently.

Although one ""anti-crime"" bill (or ""anti-privacy"" according to its
critics) was recently defeated, another ""anti-crime"" bill -- this one
strengthening asset forfeiture laws -- has just been introduced.
Unfortunately, says Roberts, asset forfeiture laws violate due
process and are any easy way for politicians to look ""tough on crime""
even though such laws harm innocent Americans far more than criminals.

""The House Judiciary Committee led by Henry Hyde, R-Ill., has
documented the most extraordinary abuses of the asset forfeiture
laws,"" writes Roberts. ""The Banking Committee and [the bill's author]
should sit down with Hyde and listen carefully before they create any
more Gestapo powers for law-enforcement officers.""

For more information, see ""Dangers lurk in war on crime,"" by Paul
Craig Roberts, at
http://www.independent.org/tii/lighthouse/LHLink2-40-3.html.

For more on civil forfeiture laws, see CIVIL FORFEITURE AS A ""SIN
TAX"" by Donald J. Boudreaux and Adam Pritchard, at
http://www.independent.org/tii/lighthouse/LHLink2-40-4.html.

Also see the Independent Institute book, TO SERVE AND PROTECT:
Privatization and Community in Criminal Justice, by Bruce Benson, at
http://www.independent.org/tii/lighthouse/LHLink2-40-5.html.

-------------------------------------------------------------

MEDICARE REFORM: Economics versus Politics

Debates over Medicare reform didn't start with Al Gore and George W.
Bush. In fact, legislation similar to Medicare had been intensely
debated since the mid-1940s. However, its advocates found no way to
overcome opposition until 1965, when Medicare's staunchest advocate
on the House Ways and Means Committee found the opportunity to
smuggle Medicare legislation into another bill at the last minute.

Yet as vocal as debates over Medicare have been, very little of that
debate has been informed by sound economic principles. This omission,
which has stalled any genuine reform of Medicare, is largely the
fault of economists, says economist Robert B. Helms in the new issue
of THE INDEPENDENT REVIEW.

""My criticism is not directed to the economists who have attempted
for many years to apply market principles to health-care issues, but
to the larger number of economists who have not,"" Helms writes.
""Moreover, my criticism pertains to the failure of economists to
teach the fundamental principles of economics to educated Americans,
rather than to the failure of 'economics.'""

To improve the quality of the debate over Medicare, Helms recommends
three measures. First, more economists must explain to policymakers
and the public that that market competition in health care, as in
other markets, would improve quality of health care. Second, they
must explain that competition would also make health care more
efficient by allocating scarce resources to higher-valued uses.
Finally, they must explain that price controls and destructive of
these desirable ends.

Without a concerted effort to impart these principles to a wider
audience, Helms argues, Medicare reform -- and other necessary
health-policy reforms -- will become victim of political maneuvering,
much to the detriment of the lives and well-being of the American
public.

""This lack of education in economics is appallingly evident in
Washington, D.C., especially on Capitol Hill,"" says Helms.

For more information, see ""Medicare Reform: Economics versus
Politics"" by Richard B. Helms (THE INDEPENDENT REVIEW, Fall 2000), at
http://www.independent.org/tii/lighthouse/LHLink2-40-6.html.

For more on Medicare, see ""Medicare's Progeny: The 1996 Health Care
Legislation"" by Charlotte Twight (THE INDEPENDENT REVIEW, Winter
1998), at
http://www.independent.org/tii/lighthouse/LHLink2-40-7.html.

Also see the Independent Institute book, AMERICAN HEALTH CARE:
Government, Market Processes and the Public Interest, edited by Roger
D. Feldman, at
http://www.independent.org/tii/lighthouse/LHLink2-40-8.html.

For the Independent Institute's ""Guide to Resources on Price Controls
in Health Care,"" see
http://www.independent.org/tii/lighthouse/LHLink2-40-9.html.

-------------------------------------------------------------

If you enjoy receiving THE LIGHTHOUSE ... please help us support it.

Your supporting Independent Associate Membership enables us to reach
thousands of other people. So, please make a contribution to The
Independent Institute. See
http://www.independent.org/tii/lighthouse/LHLink2-40-10.html to
donate, or contact Ms. Priscilla Busch by phone at 510-632-1366 x105,
fax to 510-568-6040, email to <PBusch@independent.org>, or snail mail
to The Independent Institute, 100 Swan Way, Oakland, CA 94621-1428.
All contributions are tax-deductible.  Thank you!

-------------------------------------------------------------

For previous issues of THE LIGHTHOUSE, see
http://www.independent.org/tii/lighthouse/LHLink2-40-11.html.

-------------------------------------------------------------

For information on books and other publications from The Independent
Institute, see
http://www.independent.org/tii/lighthouse/LHLink2-40-12.html.

-------------------------------------------------------------

For information on The Independent Institute's upcoming Independent
Policy Forums, see
http://www.independent.org/tii/lighthouse/LHLink2-40-13.html.

-----------------------------------------------------------------

To subscribe (or unsubscribe) to The Lighthouse, please go to
http://www.independent.org/subscribe.html, choose ""subscribe"" (or
""unsubscribe""), enter your e-mail address and select The Lighthouse.
Or, either send an e-mail message to
independent-list-request@free-market.net with the words ""unsubscribe""
in the body of the message, or e-mail independent@free-market.net and
ask to be unsubscribed.

Copyright , 2000 The Independent Institute
100 Swan Way
Oakland, CA 94621-1428
(510) 632-1366 phone
(510) 568-6040 fax
info@independent.org
http://www.independent.org","[('http', 16), ('The', 15), ('Independent', 14)]"
"""Eannouncement70@mailcity.com"" <Eannouncement70@mailcity.com>",Manage your sales effectively on the Web,"Tue, 17 Oct 2000 14:01:00 -0700 (PDT)","Sign Up Three Users for Free for 60 Days
http://www.mynetsales.com/sp/e.asp?id=47


We're convinced that once you try our sales management solution,
you'll understand why thousands of other executives are using
mynetsales.com to more easily and effectively manage their global
sales efforts, online. That's why we'd like you to try
mynetsales.com for Free for 60 days.

Traditional sales contact and management systems are simply too
complicated and costly to install and maintain. With
mynetsales.com, there are No hardware, No software and No
information technology costs. Because mynetsales.com is Web-
based, it frees you from the time and expense of buying, installing
and maintaining special software and hardware. The benefit to you
is that mynetsales.com is easy-to-deploy and easy-to-use. Even
more important, it is fully customizable to the unique needs and
organizational structure of your company. mynetsales.com also
gives you peace of mind knowing that critical customer and sales
data will never be lost.

All you need is Internet access. mynetsales.com allows you to
quickly and easily set up your sales team and begin managing sales
in real time, regardless of sales force size or location. Features
include contact and opportunity management, calendar, team
scheduling, and sales forecasting and reporting. One of
mynetsales.com's innovative features is its flexible Sales Process
Builder and Manager. Designed to be as simple or complex as your
selling process requires, the Sales Process Manager tracks each
step of your company's selling process with every customer,
reminding your sales team of next steps and deadlines, helping to
maximize sales.

So, visit us at:
http://www.mynetsales.com/sp/e.asp?id=47
and see why mynetsales.com is revolutionizing the world of sales
management.


P.S. Mark Gibbs from Network World recently wrote that
mynetsales.com's sales process builder, along with its group
functionality, provide a ""powerful"" approach to handling customer
relationship management.

Your email address klay@enron.com appears
in a compiled opt-in file of Computing
and Networking vendors.If you do not
want to receive future messages regarding
Computing/ Networking offers,please  Opt-Out
by FORWARDING this entire message to
Eannouncement70@Lycos.com   (be sure to forward
this ENTIRE message,or it will not suppress
you properly!)




***************************************************************************
79105","[('sales', 12), ('management', 5), ('No', 3)]"
John Sherriff,Atlantic Copper,"Wed, 18 Oct 2000 02:01:00 -0700 (PDT)","Ken - I thought I would give you a quick update on our conversations 
regarding Atlantic Copper.  Our team met with the senior management from 
Atlantic Copper last week in concert with the London Metal Exchange Week.

There are several hurdles to overcome in structuring a deal to acquire 
Atlantic Copper and a long term copper concentrates supply from FM's 
Indonesian mine complex.   Current contract prices for copper smelting and 
refining capacity are low and they might be a bit unrealistic on price.    We 
suggested a conceptual structure that may work but is 
probably a long shot at this time.   They were interested and requested a 
more definitive proposal, which we will develop this week.

We will keep you posted.

John","[('Atlantic', 3), ('Copper', 3), ('copper', 2)]"
dflaux@ema2000.ch,real economy !,"Sun, 27 Aug 2000 04:05:00 -0700 (PDT)","ENRON
Att.: Monsieur Kenneth L. LAY

Hello
A short notice to let you know that the program together with the list of 
exhibitors have been updated
and are available at:  http://www.ema2000.ch/uk/program.html

You have the opportunity to register as:
An exhibitor:  http://www.ema2000.ch/uk/to_exhi.htm
A visitor: http://www.ema2000.ch/uk/to_visit.html


See you there
Regards
Dominique FLAUX
2nd emerging markets international fair. Geneva.","[('http', 3), ('A', 2), ('Hello', 1)]"
"""Ethics Integrity"" <ethics_integrity@hotmail.com>",Re: Ethical Misconduct - Annat Jain of Enron India,"Wed, 18 Oct 2000 07:01:00 -0700 (PDT)","I am one of Annat Jain=01,s girlfriends.  I need to bring some stark facts =
to
your attention.  Annat Jain, a senior director of communications at Enron
India, boldly and shamelessly continues to set an example of =01&Ethical
misconduct=018 and is risking the integrity of your organization in India a=
s a
whole.  This has been going on for the last 18 months!  While staying on
Enron=01,s payroll, he boldly demonstrates conflict of interest by spending
most of his time at his other private ventures (RazorFinish.com and
Powervertical.com).

Since apparently he enjoys the CEO=01,s friendship, he feels that he can wa=
lk
over anyone at anytime.  He is very abusive right from the office boy to th=
e
senior staff and openly boasts about his arrogance and attitude.  Respect
towards others does not even cross his arrogant and rude self.  If one
audits the last 18 months of credit card charges, purchases and other
expenses, most of these charges are being made for his 2 private ventures
(RazorFinish.com and Powervertical.com) or personal entertainment.

To go totally overboard with his bold denial of ethics and company
standards, he is now in the process of hiring and acquiring some individual=
s
from his 2nd venture (Powervertical.com) into Enron!  He also boasts openly
that Enron India will soon acquire his company Powervertical.com so he can
gain financially from such a transaction.  Thus, he continues to use Enron
as a platform for his personal gains.  It is indeed a shame that such an
individual represents your organization in the marketplace and industry.  A
lot of the industry experts are aware of Annat=01,s unethical behavior and =
his
rude attitude in general dealings and have refused to work with Enron as
such.  What example will he set for the organization as a whole and how lon=
g
will you tolerate such behavior?


_________________________________________________________________________
Get Your Private, Free E-mail from MSN Hotmail at http://www.hotmail.com.

Share information about yourself, create your own public profile at
http://profiles.msn.com.","[('Enron', 5), ('organization', 3), ('India', 3)]"
counciloftheamericas@as-coa.org,PROGRAM CANCELLATION-Hector Ciavaldini,"Wed, 18 Oct 2000 00:26:00 -0700 (PDT)", - cancelciaval.doc,[]
Sunie Ferrington,Azurix/City of Houston Project,"Wed, 18 Oct 2000 03:39:00 -0700 (PDT)","Please find the attached memo on the recent developments of the Azurix/City 
of Houston Project.  A hard copy will be delivered to your office this 
morning.
","[('copy', 1), ('developments', 1), ('memo', 1)]"
