match_details,result,scores,date,venue,round,home,away,winner,win_by_runs,win_by_wickets,balls_remaining,innings1,innings1_runs,innings1_wickets,innings1_overs_batted,innings1_overs,innings2,innings2_runs,innings2_wickets,innings2_overs_batted,innings2_overs,D/L_method,target
"Midlands/Wales/West Division:Somerset v Glamorgan at Taunton- Jun 1, 2009",Somerset won by 10 wickets (with 32 balls remaining),Glamorgan 128/7 (20/20 ov); Somerset 132/0 (14.4/20 ov),01/06/2009,Taunton,Midlands/Wales/West Division,Somerset,Glamorgan,Somerset,,10,32,Glamorgan,128,7,20,20,Somerset,132,0,14.4,20,,
"Midlands/Wales/West Division:Warwickshire v Northamptonshire at Birmingham- Jun 1, 2009",Northamptonshire won by 24 runs,Northamptonshire 155/7 (20/20 ov); Warwickshire 131/6 (20/20 ov),01/06/2009,Birmingham,Midlands/Wales/West Division,Warwickshire,Northamptonshire,Northamptonshire,24,,,Northamptonshire,155,7,20,20,Warwickshire,131,6,20,20,,
"South Division:Essex v Kent at Chelmsford- Jun 1, 2009",Essex won by 36 runs,Essex 205/4 (20/20 ov); Kent 169/7 (20/20 ov),01/06/2009,Chelmsford,South Division,Essex,Kent,Essex,36,,,Essex,205,4,20,20,Kent,169,7,20,20,,
"South Division:Sussex v Middlesex at Hove- Jun 1, 2009",Sussex won by 7 wickets (with 21 balls remaining),Middlesex 116 (19.3/20 ov); Sussex 120/3 (16.3/20 ov),01/06/2009,Hove,South Division,Sussex,Middlesex,Sussex,,7,21,Middlesex,116,10,19.3,20,Sussex,120,3,16.3,20,,
"North Division:Lancashire v Derbyshire at Manchester- Jun 2, 2009",Lancashire won by 38 runs,Lancashire 165/7 (20/20 ov); Derbyshire 127/9 (20/20 ov),02/06/2009,Manchester,North Division,Lancashire,Derbyshire,Lancashire,38,,,Lancashire,165,7,20,20,Derbyshire,127,9,20,20,,
"South Division:Middlesex v Hampshire at Uxbridge- Jun 2, 2009",Hampshire won by 56 runs,Hampshire 181/6 (20/20 ov); Middlesex 125 (19/20 ov),02/06/2009,Uxbridge,South Division,Middlesex,Hampshire,Hampshire,56,,,Hampshire,181,6,20,20,Middlesex,125,10,19,20,,
"North Division:Yorkshire v Durham at Leeds- Jun 2, 2009",Yorkshire won by 2 wickets (with 0 balls remaining),Durham 116/8 (20/20 ov); Yorkshire 117/8 (20/20 ov),02/06/2009,Leeds,North Division,Yorkshire,Durham,Yorkshire,,2,0,Durham,116,8,20,20,Yorkshire,117,8,20,20,,
"Midlands/Wales/West Division:Gloucestershire v Northamptonshire at Bristol- Jun 3, 2009",Northamptonshire won by 10 runs,Northamptonshire 162 (19.5/20 ov); Gloucestershire 152/7 (20/20 ov),03/06/2009,Bristol,Midlands/Wales/West Division,Gloucestershire,Northamptonshire,Northamptonshire,10,,,Northamptonshire,162,10,19.5,20,Gloucestershire,152,7,20,20,,
"North Division:Leicestershire v Nottinghamshire at Leicester- Jun 3, 2009",Leicestershire won by 70 runs,Leicestershire 205/2 (20/20 ov); Nottinghamshire 135 (18.3/20 ov),03/06/2009,Leicester,North Division,Leicestershire,Nottinghamshire,Leicestershire,70,,,Leicestershire,205,2,20,20,Nottinghamshire,135,10,18.3,20,,
"Midlands/Wales/West Division:Worcestershire v Somerset at Worcester- Jun 3, 2009",Worcestershire won by 8 runs,Worcestershire 165/6 (20/20 ov); Somerset 157 (20/20 ov),03/06/2009,Worcester,Midlands/Wales/West Division,Worcestershire,Somerset,Worcestershire,8,,,Worcestershire,165,6,20,20,Somerset,157,10,20,20,,
"South Division:Essex v Sussex at Chelmsford- Jun 3, 2009",Sussex won by 8 wickets (with 10 balls remaining),Essex 126/7 (20/20 ov); Sussex 130/2 (18.2/20 ov),03/06/2009,Chelmsford,South Division,Essex,Sussex,Sussex,,8,10,Essex,126,7,20,20,Sussex,130,2,18.2,20,,
"Midlands/Wales/West Division:Glamorgan v Worcestershire at Cardiff- Jun 4, 2009",Worcestershire won by 29 runs,Worcestershire 164/6 (20/20 ov); Glamorgan 135 (20/20 ov),04/06/2009,Cardiff,Midlands/Wales/West Division,Glamorgan,Worcestershire,Worcestershire,29,,,Worcestershire,164,6,20,20,Glamorgan,135,10,20,20,,
"North Division:Lancashire v Durham at Manchester- Jun 4, 2009",Lancashire won by 6 wickets (with 5 balls remaining),Durham 123/6 (20/20 ov); Lancashire 124/4 (19.1/20 ov),04/06/2009,Manchester,North Division,Lancashire,Durham,Lancashire,,6,5,Durham,123,6,20,20,Lancashire,124,4,19.1,20,,
"Midlands/Wales/West Division:Northamptonshire v Somerset at Northampton- Jun 4, 2009",Somerset won by 30 runs,Somerset 163/3 (20/20 ov); Northamptonshire 133/9 (20/20 ov),04/06/2009,Northampton,Midlands/Wales/West Division,Northamptonshire,Somerset,Somerset,30,,,Somerset,163,3,20,20,Northamptonshire,133,9,20,20,,
"Midlands/Wales/West Division:Warwickshire v Gloucestershire at Birmingham- Jun 4, 2009",Warwickshire won by 4 wickets (with 6 balls remaining),Gloucestershire 135/7 (20/20 ov); Warwickshire 139/6 (19/20 ov),04/06/2009,Birmingham,Midlands/Wales/West Division,Warwickshire,Gloucestershire,Warwickshire,,4,6,Gloucestershire,135,7,20,20,Warwickshire,139,6,19,20,,
"North Division:Yorkshire v Nottinghamshire at Leeds- Jun 4, 2009",Yorkshire won by 8 wickets (with 12 balls remaining),Nottinghamshire 155/6 (20/20 ov); Yorkshire 156/2 (18/20 ov),04/06/2009,Leeds,North Division,Yorkshire,Nottinghamshire,Yorkshire,,8,12,Nottinghamshire,155,6,20,20,Yorkshire,156,2,18,20,,
"North Division:Derbyshire v Leicestershire at Derby- Jun 4, 2009",Leicestershire won by 14 runs,Leicestershire 144/6 (20/20 ov); Derbyshire 130/5 (20/20 ov),04/06/2009,Derby,North Division,Derbyshire,Leicestershire,Leicestershire,14,,,Leicestershire,144,6,20,20,Derbyshire,130,5,20,20,,
"South Division:Hampshire v Essex at Southampton- Jun 4, 2009",Hampshire won by 75 runs,Hampshire 219/2 (20/20 ov); Essex 144 (18.4/20 ov),04/06/2009,Southampton,South Division,Hampshire,Essex,Hampshire,75,,,Hampshire,219,2,20,20,Essex,144,10,18.4,20,,
"South Division:Sussex v Kent at Hove- Jun 4, 2009",Sussex won by 2 runs (D/L method),"Sussex 131/3 (20/20 ov); Kent 61/0 (11/11 ov, target: 64)",04/06/2009,Hove,South Division,Sussex,Kent,Sussex,2,,,Sussex,131,3,20,20,Kent,61,0,11,11,1,64
"Midlands/Wales/West Division:Gloucestershire v Warwickshire at Bristol- Jun 22, 2009",Warwickshire won by 7 wickets (with 23 balls remaining),Gloucestershire 141 (19.4/20 ov); Warwickshire 144/3 (16.1/20 ov),22/06/2009,Bristol,Midlands/Wales/West Division,Gloucestershire,Warwickshire,Warwickshire,,7,23,Gloucestershire,141,10,19.4,20,Warwickshire,144,3,16.1,20,,
"South Division:Kent v Hampshire at Tunbridge Wells- Jun 22, 2009",Kent won by 8 runs,Kent 182/4 (20/20 ov); Hampshire 174/7 (20/20 ov),22/06/2009,Tunbridge Wells,South Division,Kent,Hampshire,Kent,8,,,Kent,182,4,20,20,Hampshire,174,7,20,20,,
"North Division:Lancashire v Leicestershire at Liverpool- Jun 22, 2009",Leicestershire won by 8 runs,Leicestershire 146/5 (20/20 ov); Lancashire 138 (19.5/20 ov),22/06/2009,Liverpool,North Division,Lancashire,Leicestershire,Leicestershire,8,,,Leicestershire,146,5,20,20,Lancashire,138,10,19.5,20,,
"North Division:Nottinghamshire v Yorkshire at Nottingham- Jun 22, 2009",Nottinghamshire won by 11 runs,Nottinghamshire 165/4 (20/20 ov); Yorkshire 154/8 (20/20 ov),22/06/2009,Nottingham,North Division,Nottinghamshire,Yorkshire,Nottinghamshire,11,,,Nottinghamshire,165,4,20,20,Yorkshire,154,8,20,20,,
"South Division:Essex v Middlesex at Chelmsford- Jun 22, 2009",Essex won by 8 wickets (with 6 balls remaining),Middlesex 148 (19.2/20 ov); Essex 151/2 (19/20 ov),22/06/2009,Chelmsford,South Division,Essex,Middlesex,Essex,,8,6,Middlesex,148,10,19.2,20,Essex,151,2,19,20,,
"South Division:Sussex v Surrey at Hove- Jun 22, 2009",Sussex won by 6 wickets (with 19 balls remaining),Surrey 123 (20/20 ov); Sussex 125/4 (16.5/20 ov),22/06/2009,Hove,South Division,Sussex,Surrey,Sussex,,6,19,Surrey,123,10,20,20,Sussex,125,4,16.5,20,,
"Midlands/Wales/West Division:Northamptonshire v Gloucestershire at Northampton- Jun 23, 2009",Gloucestershire won by 2 wickets (with 1 ball remaining),Northamptonshire 133 (20/20 ov); Gloucestershire 134/8 (19.5/20 ov),23/06/2009,Northampton,Midlands/Wales/West Division,Northamptonshire,Gloucestershire,Gloucestershire,,2,1,Northamptonshire,133,10,20,20,Gloucestershire,134,8,19.5,20,,
"Midlands/Wales/West Division:Somerset v Worcestershire at Taunton- Jun 23, 2009",Somerset won by 7 wickets (with 6 balls remaining),Worcestershire 176/8 (20/20 ov); Somerset 177/3 (19/20 ov),23/06/2009,Taunton,Midlands/Wales/West Division,Somerset,Worcestershire,Somerset,,7,6,Worcestershire,176,8,20,20,Somerset,177,3,19,20,,
"Midlands/Wales/West Division:Warwickshire v Glamorgan at Birmingham- Jun 23, 2009",Warwickshire won by 4 wickets (with 7 balls remaining),Glamorgan 148/7 (20/20 ov); Warwickshire 149/6 (18.5/20 ov),23/06/2009,Birmingham,Midlands/Wales/West Division,Warwickshire,Glamorgan,Warwickshire,,4,7,Glamorgan,148,7,20,20,Warwickshire,149,6,18.5,20,,
"North Division:Derbyshire v Durham at Derby- Jun 23, 2009",Durham won by 6 wickets (with 12 balls remaining),Derbyshire 153/6 (20/20 ov); Durham 154/4 (18/20 ov),23/06/2009,Derby,North Division,Derbyshire,Durham,Durham,,6,12,Derbyshire,153,6,20,20,Durham,154,4,18,20,,
"South Division:Hampshire v Middlesex at Southampton- Jun 23, 2009",Hampshire won by 28 runs,Hampshire 183/6 (20/20 ov); Middlesex 155/5 (20/20 ov),23/06/2009,Southampton,South Division,Hampshire,Middlesex,Hampshire,28,,,Hampshire,183,6,20,20,Middlesex,155,5,20,20,,
"North Division:Nottinghamshire v Leicestershire at Nottingham- Jun 24, 2009",Nottinghamshire won by 9 wickets (with 33 balls remaining),Leicestershire 123/7 (20/20 ov); Nottinghamshire 124/1 (14.3/20 ov),24/06/2009,Nottingham,North Division,Nottinghamshire,Leicestershire,Nottinghamshire,,9,33,Leicestershire,123,7,20,20,Nottinghamshire,124,1,14.3,20,,
"South Division:Surrey v Kent at The Oval- Jun 24, 2009",Kent won by 1 run,Kent 168/6 (20/20 ov); Surrey 167 (19.4/20 ov),24/06/2009,The Oval,South Division,Surrey,Kent,Kent,1,,,Kent,168,6,20,20,Surrey,167,10,19.4,20,,
"Midlands/Wales/West Division:Worcestershire v Glamorgan at Worcester- Jun 24, 2009",Worcestershire won by 101 runs,Worcestershire 222/4 (20/20 ov); Glamorgan 121/6 (20/20 ov),24/06/2009,Worcester,Midlands/Wales/West Division,Worcestershire,Glamorgan,Worcestershire,101,,,Worcestershire,222,4,20,20,Glamorgan,121,6,20,20,,
"North Division:Durham v Yorkshire at Chester-le-Street- Jun 24, 2009",Durham won by 41 runs,Durham 131/7 (20/20 ov); Yorkshire 90/9 (20/20 ov),24/06/2009,Chester-le-Street,North Division,Durham,Yorkshire,Durham,41,,,Durham,131,7,20,20,Yorkshire,90,9,20,20,,
"Midlands/Wales/West Division:Somerset v Northamptonshire at Taunton- Jun 25, 2009",No result,Northamptonshire 49/0 (5/20 ov),25/06/2009,Taunton,Midlands/Wales/West Division,Somerset,Northamptonshire,No result,,,,Northamptonshire,49,0,5,20,,,,,,,
"South Division:Surrey v Essex at The Oval- Jun 25, 2009",Essex won by 84 runs,Essex 210/3 (20/20 ov); Surrey 126 (15.2/20 ov),25/06/2009,The Oval,South Division,Surrey,Essex,Essex,84,,,Essex,210,3,20,20,Surrey,126,10,15.2,20,,
"North Division:Derbyshire v Lancashire at Derby- Jun 25, 2009",Lancashire won by 56 runs,Lancashire 220/5 (20/20 ov); Derbyshire 164/7 (20/20 ov),25/06/2009,Derby,North Division,Derbyshire,Lancashire,Lancashire,56,,,Lancashire,220,5,20,20,Derbyshire,164,7,20,20,,
"North Division:Leicestershire v Yorkshire at Leicester- Jun 26, 2009",Leicestershire won by 11 runs,Leicestershire 164/6 (20/20 ov); Yorkshire 153/6 (20/20 ov),26/06/2009,Leicester,North Division,Leicestershire,Yorkshire,Leicestershire,11,,,Leicestershire,164,6,20,20,Yorkshire,153,6,20,20,,
"South Division:Middlesex v Essex at Lord's- Jun 26, 2009",Middlesex won by 23 runs,Middlesex 166/5 (20/20 ov); Essex 143 (19.2/20 ov),26/06/2009,Lord's,South Division,Middlesex,Essex,Middlesex,23,,,Middlesex,166,5,20,20,Essex,143,10,19.2,20,,
"North Division:Nottinghamshire v Derbyshire at Nottingham- Jun 26, 2009",Nottinghamshire won by 8 wickets (with 20 balls remaining),Derbyshire 165/6 (20/20 ov); Nottinghamshire 166/2 (16.4/20 ov),26/06/2009,Nottingham,North Division,Nottinghamshire,Derbyshire,Nottinghamshire,,8,20,Derbyshire,165,6,20,20,Nottinghamshire,166,2,16.4,20,,
"Midlands/Wales/West Division:Worcestershire v Warwickshire at Worcester- Jun 26, 2009",Warwickshire won by 7 wickets (with 5 balls remaining),Worcestershire 162/6 (20/20 ov); Warwickshire 166/3 (19.1/20 ov),26/06/2009,Worcester,Midlands/Wales/West Division,Worcestershire,Warwickshire,Warwickshire,,7,5,Worcestershire,162,6,20,20,Warwickshire,166,3,19.1,20,,
"Midlands/Wales/West Division:Gloucestershire v Somerset at Bristol- Jun 26, 2009",Somerset won by 3 wickets (with 6 balls remaining),Gloucestershire 173 (19.3/20 ov); Somerset 175/7 (19/20 ov),26/06/2009,Bristol,Midlands/Wales/West Division,Gloucestershire,Somerset,Somerset,,3,6,Gloucestershire,173,10,19.3,20,Somerset,175,7,19,20,,
"North Division:Durham v Lancashire at Chester-le-Street- Jun 26, 2009",Match abandoned without a ball bowled,,26/06/2009,Chester-le-Street,North Division,Durham,Lancashire,Match abandoned without a ball bowled,,,,,,,,,,,,,,,
"Midlands/Wales/West Division:Glamorgan v Northamptonshire at Cardiff- Jun 26, 2009",Northamptonshire won by 20 runs,Northamptonshire 157/7 (20/20 ov); Glamorgan 137/9 (20/20 ov),26/06/2009,Cardiff,Midlands/Wales/West Division,Glamorgan,Northamptonshire,Northamptonshire,20,,,Northamptonshire,157,7,20,20,Glamorgan,137,9,20,20,,
"South Division:Hampshire v Kent at Southampton- Jun 26, 2009",Kent won by 7 wickets (with 13 balls remaining),Hampshire 131/7 (20/20 ov); Kent 132/3 (17.5/20 ov),26/06/2009,Southampton,South Division,Hampshire,Kent,Kent,,7,13,Hampshire,131,7,20,20,Kent,132,3,17.5,20,,
"South Division:Surrey v Middlesex at The Oval- Jun 27, 2009",Middlesex won by 7 wickets (with 10 balls remaining),Surrey 160/5 (20/20 ov); Middlesex 162/3 (18.2/20 ov),27/06/2009,The Oval,South Division,Surrey,Middlesex,Middlesex,,7,10,Surrey,160,5,20,20,Middlesex,162,3,18.2,20,,
"Midlands/Wales/West Division:Gloucestershire v Glamorgan at Bristol- Jun 28, 2009",Glamorgan won by 6 wickets (with 9 balls remaining),Gloucestershire 148/7 (20/20 ov); Glamorgan 151/4 (18.3/20 ov),28/06/2009,Bristol,Midlands/Wales/West Division,Gloucestershire,Glamorgan,Glamorgan,,6,9,Gloucestershire,148,7,20,20,Glamorgan,151,4,18.3,20,,
"South Division:Kent v Surrey at Beckenham- Jun 28, 2009",Kent won by 16 runs,Kent 184/7 (20/20 ov); Surrey 168/9 (20/20 ov),28/06/2009,Beckenham,South Division,Kent,Surrey,Kent,16,,,Kent,184,7,20,20,Surrey,168,9,20,20,,
"North Division:Leicestershire v Durham at Leicester- Jun 28, 2009",Durham won by 6 wickets (with 22 balls remaining),Leicestershire 133/8 (20/20 ov); Durham 137/4 (16.2/20 ov),28/06/2009,Leicester,North Division,Leicestershire,Durham,Durham,,6,22,Leicestershire,133,8,20,20,Durham,137,4,16.2,20,,
"South Division:Middlesex v Sussex at Lord's- Jun 28, 2009",Sussex won by 6 wickets (with 6 balls remaining),Middlesex 127/8 (20/20 ov); Sussex 130/4 (19/20 ov),28/06/2009,Lord's,South Division,Middlesex,Sussex,Sussex,,6,6,Middlesex,127,8,20,20,Sussex,130,4,19,20,,
"Midlands/Wales/West Division:Northamptonshire v Worcestershire at Northampton- Jun 28, 2009",Northamptonshire won by 7 wickets (with 12 balls remaining),Worcestershire 109/9 (20/20 ov); Northamptonshire 110/3 (18/20 ov),28/06/2009,Northampton,Midlands/Wales/West Division,Northamptonshire,Worcestershire,Northamptonshire,,7,12,Worcestershire,109,9,20,20,Northamptonshire,110,3,18,20,,
"North Division:Nottinghamshire v Lancashire at Nottingham- Jun 28, 2009",Lancashire won by 9 wickets (with 12 balls remaining),Nottinghamshire 173/7 (20/20 ov); Lancashire 175/1 (18/20 ov),28/06/2009,Nottingham,North Division,Nottinghamshire,Lancashire,Lancashire,,9,12,Nottinghamshire,173,7,20,20,Lancashire,175,1,18,20,,
"Midlands/Wales/West Division:Warwickshire v Somerset at Birmingham- Jun 28, 2009",Warwickshire won by 1 run,Warwickshire 193/6 (20/20 ov); Somerset 192/7 (20/20 ov),28/06/2009,Birmingham,Midlands/Wales/West Division,Warwickshire,Somerset,Warwickshire,1,,,Warwickshire,193,6,20,20,Somerset,192,7,20,20,,
"North Division:Yorkshire v Derbyshire at Leeds- Jun 28, 2009",Derbyshire won by 37 runs,Derbyshire 164/5 (20/20 ov); Yorkshire 127 (19.5/20 ov),28/06/2009,Leeds,North Division,Yorkshire,Derbyshire,Derbyshire,37,,,Derbyshire,164,5,20,20,Yorkshire,127,10,19.5,20,,
"South Division:Essex v Hampshire at Chelmsford- Jun 28, 2009",Hampshire won by 6 wickets (with 5 balls remaining),Essex 149/6 (20/20 ov); Hampshire 153/4 (19.1/20 ov),28/06/2009,Chelmsford,South Division,Essex,Hampshire,Hampshire,,6,5,Essex,149,6,20,20,Hampshire,153,4,19.1,20,,
"Quarter-Final:Kent v Durham at Canterbury- Jul 27, 2009",Kent won by 56 runs,Kent 149/7 (20/20 ov); Durham 93 (17.2/20 ov),27/07/2009,Canterbury,Quarter-Final,Kent,Durham,Kent,56,,,Kent,149,7,20,20,Durham,93,10,17.2,20,,
"Quarter-Final:Sussex v Warwickshire at Hove- Jul 27, 2009",Sussex won by 38 runs,Sussex 152/9 (20/20 ov); Warwickshire 114 (19/20 ov),27/07/2009,Hove,Quarter-Final,Sussex,Warwickshire,Sussex,38,,,Sussex,152,9,20,20,Warwickshire,114,10,19,20,,
"Quarter-Final:Lancashire v Somerset at Manchester- Jul 28-30, 2009",Match abandoned without a ball bowled (Somerset won the bowl-out),,30/07/2009,Manchester- Jul 28,Quarter-Final,Lancashire,Somerset,Somerset,,,,,,,,,,,,,,,
"Quarter-Final:Northamptonshire v Hampshire at Northampton- Jul 29-30, 2009",Northamptonshire won by 13 runs,Northamptonshire 134/6 (20/20 ov); Hampshire 121 (19.4/20 ov),30/07/2009,Northampton- Jul 29,Quarter-Final,Northamptonshire,Hampshire,Northamptonshire,13,,,Northamptonshire,134,6,20,20,Hampshire,121,10,19.4,20,,
"1st Semi-Final:Northamptonshire v Sussex at Birmingham- Aug 15, 2009",Sussex won by 7 wickets (with 2 balls remaining),Northamptonshire 136/6 (20/20 ov); Sussex 137/3 (19.4/20 ov),15/08/2009,Birmingham,1st Semi-Final,Northamptonshire,Sussex,Sussex,,7,2,Northamptonshire,136,6,20,20,Sussex,137,3,19.4,20,,
"2nd Semi-Final:Kent v Somerset at Birmingham- Aug 15, 2009",Somerset won by 7 wickets (with 7 balls remaining),Kent 145/5 (20/20 ov); Somerset 146/3 (18.5/20 ov),15/08/2009,Birmingham,2nd Semi-Final,Kent,Somerset,Somerset,,7,7,Kent,145,5,20,20,Somerset,146,3,18.5,20,,
"Final:Somerset v Sussex at Birmingham- Aug 15, 2009",Sussex won by 63 runs,Sussex 172/7 (20/20 ov); Somerset 109 (17.2/20 ov),15/08/2009,Birmingham,Final,Somerset,Sussex,Sussex,63,,,Sussex,172,7,20,20,Somerset,109,10,17.2,20,,
"1st T20I:England v Australia at Manchester- Aug 30, 2009",No result,Australia 145/4 (20/20 ov); England 4/2 (1.1/20 ov),30/08/2009,Manchester,1st T20I,England,Australia,No result,,,,Australia,145,4,20,20,England,4,2,1.1,20,,
"2nd T20I:England v Australia at Manchester- Sep 1, 2009",Match abandoned without a ball bowled,,01/09/2009,Manchester,2nd T20I,England,Australia,Match abandoned without a ball bowled,,,,,,,,,,,,,,,
"1st T20I:Sri Lanka v New Zealand at Colombo (RPS)- Sep 2, 2009",New Zealand won by 3 runs,New Zealand 141/8 (20/20 ov); Sri Lanka 138/9 (20/20 ov),02/09/2009,Colombo (RPS),1st T20I,Sri Lanka,New Zealand,New Zealand,3,,,New Zealand,141,8,20,20,Sri Lanka,138,9,20,20,,
"2nd T20I:Sri Lanka v New Zealand at Colombo (RPS)- Sep 4, 2009",New Zealand won by 22 runs,New Zealand 170/4 (20/20 ov); Sri Lanka 148/8 (20/20 ov),04/09/2009,Colombo (RPS),2nd T20I,Sri Lanka,New Zealand,New Zealand,22,,,New Zealand,170,4,20,20,Sri Lanka,148,8,20,20,,
"1st Match, Group C:Royal Challengers Bangalore v Cape Cobras at Bangalore- Oct 8, 2009",Cape Cobras won by 5 wickets (with 2 balls remaining),Royal Challengers Bangalore 180/4 (20/20 ov); Cape Cobras 184/5 (19.4/20 ov),08/10/2009,Bangalore,"1st Match, Group C",Royal Challengers Bangalore,Cape Cobras,Cape Cobras,,5,2,Royal Challengers Bangalore,180,4,20,20,Cape Cobras,184,5,19.4,20,,
"2nd Match, Group B:Eagles v New South Wales at Delhi- Oct 9, 2009",New South Wales won by 53 runs,New South Wales 144/6 (20/20 ov); Eagles 91/9 (20/20 ov),09/10/2009,Delhi,"2nd Match, Group B",Eagles,New South Wales,New South Wales,53,,,New South Wales,144,6,20,20,Eagles,91,9,20,20,,
"3rd Match, Group D:Delhi Daredevils v Victoria at Delhi- Oct 9, 2009",Victoria won by 7 wickets (with 20 balls remaining),Delhi Daredevils 98/8 (20/20 ov); Victoria 100/3 (16.4/20 ov),09/10/2009,Delhi,"3rd Match, Group D",Delhi Daredevils,Victoria,Victoria,,7,20,Delhi Daredevils,98,8,20,20,Victoria,100,3,16.4,20,,
"4th Match, Group C:Cape Cobras v Otago at Hyderabad (Deccan)- Oct 10, 2009",Cape Cobras won by 54 runs,Cape Cobras 193/4 (20/20 ov); Otago 139 (17.1/20 ov),10/10/2009,Hyderabad (Deccan),"4th Match, Group C",Cape Cobras,Otago,Cape Cobras,54,,,Cape Cobras,193,4,20,20,Otago,139,10,17.1,20,,
"5th Match, Group A:Deccan Chargers v Somerset at Hyderabad (Deccan)- Oct 10, 2009",Somerset won by 1 wicket (with 0 balls remaining),Deccan Chargers 153/9 (20/20 ov); Somerset 157/9 (20/20 ov),10/10/2009,Hyderabad (Deccan),"5th Match, Group A",Deccan Chargers,Somerset,Somerset,,1,0,Deccan Chargers,153,9,20,20,Somerset,157,9,20,20,,
"6th Match, Group B:New South Wales v Sussex at Delhi- Oct 11, 2009",New South Wales won by 35 runs,New South Wales 130/2 (20/20 ov); Sussex 95/8 (20/20 ov),11/10/2009,Delhi,"6th Match, Group B",New South Wales,Sussex,New South Wales,35,,,New South Wales,130,2,20,20,Sussex,95,8,20,20,,
"7th Match, Group D:Delhi Daredevils v Wayamba at Delhi- Oct 11, 2009",Delhi Daredevils won by 50 runs,Delhi Daredevils 170/5 (20/20 ov); Wayamba 120/7 (20/20 ov),11/10/2009,Delhi,"7th Match, Group D",Delhi Daredevils,Wayamba,Delhi Daredevils,50,,,Delhi Daredevils,170,5,20,20,Wayamba,120,7,20,20,,
"8th Match, Group A:Somerset v Trinidad & Tobago at Bangalore- Oct 12, 2009",Trinidad & Tobago won by 44 runs,Trinidad & Tobago 150/9 (20/20 ov); Somerset 106 (20/20 ov),12/10/2009,Bangalore,"8th Match, Group A",Somerset,Trinidad & Tobago,Trinidad & Tobago,44,,,Trinidad & Tobago,150,9,20,20,Somerset,106,10,20,20,,
"9th Match, Group C:Royal Challengers Bangalore v Otago at Bangalore- Oct 12, 2009",Royal Challengers Bangalore won by 80 runs,Royal Challengers Bangalore 188/2 (20/20 ov); Otago 108 (17.5/20 ov),12/10/2009,Bangalore,"9th Match, Group C",Royal Challengers Bangalore,Otago,Royal Challengers Bangalore,80,,,Royal Challengers Bangalore,188,2,20,20,Otago,108,10,17.5,20,,
"10th Match, Group D:Victoria v Wayamba at Delhi- Oct 13, 2009",Wayamba won by 15 runs,Wayamba 118/9 (20/20 ov); Victoria 103/4 (20/20 ov),13/10/2009,Delhi,"10th Match, Group D",Victoria,Wayamba,Wayamba,15,,,Wayamba,118,9,20,20,Victoria,103,4,20,20,,
"11th Match, Group B:Eagles v Sussex at Delhi- Oct 13, 2009",Match tied (Eagles won the one-over eliminator),Sussex 119/7 (20/20 ov); Eagles 119/4 (20/20 ov),13/10/2009,Delhi,"11th Match, Group B",Eagles,Sussex,Match tied (Eagles,,,,Sussex,119,7,20,20,Eagles,119,4,20,20,,
"12th Match, Group A:Deccan Chargers v Trinidad & Tobago at Hyderabad (Deccan)- Oct 14, 2009",Trinidad & Tobago won by 3 runs,Trinidad & Tobago 149/7 (20/20 ov); Deccan Chargers 146/9 (20/20 ov),14/10/2009,Hyderabad (Deccan),"12th Match, Group A",Deccan Chargers,Trinidad & Tobago,Trinidad & Tobago,3,,,Trinidad & Tobago,149,7,20,20,Deccan Chargers,146,9,20,20,,
"13th Match, League B:Royal Challengers Bangalore v Victoria at Bangalore- Oct 15, 2009",Victoria won by 7 wickets (with 25 balls remaining),Royal Challengers Bangalore 127/6 (20/20 ov); Victoria 133/3 (15.5/20 ov),15/10/2009,Bangalore,"13th Match, League B",Royal Challengers Bangalore,Victoria,Victoria,,7,25,Royal Challengers Bangalore,127,6,20,20,Victoria,133,3,15.5,20,,
"14th Match, League A:Eagles v Somerset at Hyderabad (Deccan)- Oct 16, 2009",Eagles won by 5 wickets (with 8 balls remaining),Somerset 132/8 (20/20 ov); Eagles 133/5 (18.4/20 ov),16/10/2009,Hyderabad (Deccan),"14th Match, League A",Eagles,Somerset,Eagles,,5,8,Somerset,132,8,20,20,Eagles,133,5,18.4,20,,
"15th Match, League A:New South Wales v Trinidad & Tobago at Hyderabad (Deccan)- Oct 16, 2009",Trinidad & Tobago won by 4 wickets (with 9 balls remaining),New South Wales 170/4 (20/20 ov); Trinidad & Tobago 171/6 (18.3/20 ov),16/10/2009,Hyderabad (Deccan),"15th Match, League A",New South Wales,Trinidad & Tobago,Trinidad & Tobago,,4,9,New South Wales,170,4,20,20,Trinidad & Tobago,171,6,18.3,20,,
"16th Match, League B:Cape Cobras v Victoria at Bangalore- Oct 17, 2009",Cape Cobras won by 8 wickets (with 6 balls remaining),Victoria 125/5 (17/17 ov); Cape Cobras 129/2 (16/17 ov),17/10/2009,Bangalore,"16th Match, League B",Cape Cobras,Victoria,Cape Cobras,,8,6,Victoria,125,5,17,17,Cape Cobras,129,2,16,17,,
"17th Match, League B:Royal Challengers Bangalore v Delhi Daredevils at Bangalore- Oct 17, 2009",Royal Challengers Bangalore won by 8 wickets (with 29 balls remaining),Delhi Daredevils 138/6 (20/20 ov); Royal Challengers Bangalore 139/2 (15.1/20 ov),17/10/2009,Bangalore,"17th Match, League B",Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,,8,29,Delhi Daredevils,138,6,20,20,Royal Challengers Bangalore,139,2,15.1,20,,
